sigma,rho,beta,x0,y0,z0,repeat,lyapunov_exponent,fractal_dimension
5.0,35.0,2.6666666666666665,1.0,1.0,1.0,1,,1.5699651305722369
5.0,35.0,2.6666666666666665,1.0,1.0,1.0,2,,1.5699651305722369
5.0,35.0,2.6666666666666665,1.0,1.0,1.0,3,,1.5699651305722369
5.0,35.0,2.6666666666666665,1.0,1.0,1.0,4,,1.5699651305722369
5.0,35.0,2.6666666666666665,1.0,1.0,1.0,5,,1.5699651305722369
5.0,35.0,2.6666666666666665,5.0,5.0,5.0,1,,1.5599750672344033
5.0,35.0,2.6666666666666665,5.0,5.0,5.0,2,,1.5599750672344033
5.0,35.0,2.6666666666666665,5.0,5.0,5.0,3,,1.5599750672344033
5.0,35.0,2.6666666666666665,5.0,5.0,5.0,4,,1.5599750672344033
5.0,35.0,2.6666666666666665,5.0,5.0,5.0,5,,1.5599750672344033
10.0,20.0,2.6666666666666665,0.1,0.1,0.1,1,,0.16702846295431217
10.0,20.0,2.6666666666666665,0.1,0.1,0.1,2,,0.16702846295431217
10.0,20.0,2.6666666666666665,0.1,0.1,0.1,3,,0.16702846295431217
10.0,20.0,2.6666666666666665,0.1,0.1,0.1,4,,0.16702846295431217
10.0,20.0,2.6666666666666665,0.1,0.1,0.1,5,,0.16702846295431217
10.0,20.0,2.6666666666666665,1.0,1.0,1.0,1,,0.1694737845561691
10.0,20.0,2.6666666666666665,1.0,1.0,1.0,2,,0.1694737845561691
10.0,20.0,2.6666666666666665,1.0,1.0,1.0,3,,0.1694737845561691
10.0,20.0,2.6666666666666665,1.0,1.0,1.0,4,,0.1694737845561691
10.0,20.0,2.6666666666666665,1.0,1.0,1.0,5,,0.1694737845561691
10.0,20.0,2.6666666666666665,5.0,5.0,5.0,1,,0.21224891426395376
10.0,20.0,2.6666666666666665,5.0,5.0,5.0,2,,0.21224891426395376
10.0,20.0,2.6666666666666665,5.0,5.0,5.0,3,,0.21224891426395376
10.0,20.0,2.6666666666666665,5.0,5.0,5.0,4,,0.21224891426395376
10.0,20.0,2.6666666666666665,5.0,5.0,5.0,5,,0.21224891426395376
10.0,28.0,2.6666666666666665,0.1,0.1,0.1,1,,1.7297158093186489
10.0,28.0,2.6666666666666665,0.1,0.1,0.1,2,,1.7297158093186489
10.0,28.0,2.6666666666666665,0.1,0.1,0.1,3,,1.7297158093186489
10.0,28.0,2.6666666666666665,0.1,0.1,0.1,4,,1.7297158093186489
10.0,28.0,2.6666666666666665,0.1,0.1,0.1,5,,1.7297158093186489
10.0,28.0,2.6666666666666665,1.0,1.0,1.0,1,,1.529770972827204
10.0,28.0,2.6666666666666665,1.0,1.0,1.0,2,,1.529770972827204
